Songs & Artist,Streams,Daily,Artist,Country
 Blinding Lights,4463658617,1619447.0,The Weeknd ,Canada
 Shape of You,4018102402,1001507.0,Ed Sheeran ,Canada
 Someone You Loved,3588673578,1506961.0,Lewis Capaldi ,Canada
 As It Was,3544187311,1611374.0,Harry Styles ,Canada
 Sunflower,3518744128,1337404.0,Post Malone ,Canada
 Starboy,3481137472,1897939.0,The Weeknd ,Canada
 One Dance,3343221259,1329534.0,Drake ,Canada
 STAY,3266446596,1336615.0,The Kid LAROI ,Canada
 Sweater Weather,3187169593,2976255.0,The Neighbourhood ,Canada
 Believer,3140449933,1261166.0,Imagine Dragons ,Canada
 Dance Monkey,3139823510,602667.0,Tones And I ,Canada
 Heat Waves,3133817525,1252964.0,Glass Animals ,Canada
 Perfect,3090494929,1172298.0,Ed Sheeran ,Canada
 rockstar,3029805367,586641.0,Post Malone ,Canada
 Say You Won't Let Go,2986429659,1281824.0,James Arthur ,Canada
 lovely,2979291308,1408158.0,Billie Eilish ,Canada
 Closer,2975681475,773228.0,The Chainsmokers ,Canada
 Watermelon Sugar,2834112398,802750.0,Harry Styles ,Canada
 Señorita,2821156041,800936.0,Shawn Mendes ,Canada
 Something Just Like This,2775000235,1864789.0,The Chainsmokers ,Canada
 Don't Start Now,2720815605,811478.0,Dua Lipa ,Canada
 Riptide,2710364376,1348353.0,Vance Joy ,Canada
 Take Me to Church,2691519096,1441603.0,Hozier ,Canada
 Another Love,2639301081,1815421.0,Tom Odell ,Canada
 Lucid Dreams,2627821814,822038.0,Juice WRLD ,Canada
 Photograph,2620855454,1268643.0,Ed Sheeran ,Canada
 Counting Stars,2615664483,1540665.0,OneRepublic ,Canada
 God's Plan,2599734210,622248.0,Drake ,Canada
 Circles,2589603423,902848.0,Post Malone ,Canada
 Bohemian Rhapsody,2583294814,1007240.0,Queen ,Canada
 bad guy,2579347687,540500.0,Billie Eilish ,Canada
 Thinking out Loud,2572363886,682007.0,Ed Sheeran ,Canada
 Can't Hold Us,2543782552,1491051.0,Macklemore & Ryan Lewis ,Canada
 Can't Hold Us,2542291501,1315630.0,Unknown ,Canada
 Shallow,2541415751,925285.0,Lady Gaga ,Canada
 goosebumps,2527338922,1110097.0,Travis Scott ,Canada
 Love Yourself,2521226929,921093.0,Justin Bieber ,Canada
 Yellow,2513216173,2648103.0,Coldplay ,Canada
 Thunder,2495240512,1001327.0,Imagine Dragons ,Canada
 Cruel Summer,2481542457,2271270.0,Taylor Swift ,Canada
 All of Me,2469158339,1087533.0,John Legend ,Canada
 I Wanna Be Yours,2450537652,2696374.0,Arctic Monkeys ,Canada
 Wake Me Up,2446945285,1193827.0,Avicii ,Canada
 Die For You,2424085403,1667707.0,The Weeknd ,Canada
 Stressed Out,2413525220,1302314.0,Twenty One Pilots ,Canada
 The Hills,2412077181,1071302.0,The Weeknd ,Canada
 Demons,2408786939,1176607.0,Imagine Dragons ,Canada
 The Night We Met,2382890548,2963250.0,Lord Huron ,Canada
 No Role Modelz,2345083839,1123717.0,J. Cole ,Canada
 Let Her Go,2341935739,859601.0,Passenger ,Canada
 HUMBLE.,2339700191,956274.0,Kendrick Lamar ,Canada
 7 rings,2339624083,685033.0,Ariana Grande ,Canada
 Mr. Brightside,2315497074,1432620.0,The Killers ,Canada
 Viva La Vida,2314642826,1543522.0,Coldplay ,Canada
 Lose Yourself,2302745432,869854.0,Eminem ,Canada
 Do I Wanna Know?,2302247285,1099083.0,Arctic Monkeys ,Canada
 Without Me,2299256196,1122956.0,Eminem ,Canada
 drivers license,2275267328,831491.0,Olivia Rodrigo ,Canada
 When I Was Your Man,2273842714,1848985.0,Bruno Mars ,Canada
 One Kiss,2273821616,871957.0,Calvin Harris ,Canada
 SAD!,2266297232,428269.0,XXXTENTACION ,Canada
 Treat You Better,2262295005,935374.0,Shawn Mendes ,Canada
 Just the Way You Are,2257540250,1588117.0,Bruno Mars ,Canada
 good 4 u,2254400891,735709.0,Olivia Rodrigo ,Canada
 Jocelyn Flores,2246197322,518326.0,XXXTENTACION ,Canada
 Let Me Love You,2240782698,915594.0,DJ Snake ,Canada
 Happier,2223776019,796439.0,Marshmello ,Canada
 Unforgettable,2217603410,1531440.0,French Montana ,Canada
 SICKO MODE,2205803195,622901.0,Travis Scott ,Canada
 That's What I Like,2205647795,1212740.0,Bruno Mars ,Canada
 Flowers,2204593162,1392494.0,Miley Cyrus ,Canada
 XO Tour Llif3,2202482060,736848.0,Lil Uzi Vert ,Canada
 Every Breath You Take,2202268304,1636096.0,The Police ,Canada
 In the End,2195160703,1313536.0,Linkin Park ,Canada
 Sorry,2181955090,844454.0,Justin Bieber ,Canada
 Locked out of Heaven,2178823231,1513249.0,Bruno Mars ,Canada
 Lean On,2177167718,827826.0,Major Lazer ,Canada
 New Rules,2171930321,537989.0,Dua Lipa ,Canada
 Levitating,2154284982,893251.0,Dua Lipa ,Canada
 There's Nothing Holdin' Me Back,2151027126,1050787.0,Shawn Mendes ,Canada
 Too Good At Goodbyes,2141897815,816460.0,Sam Smith ,Canada
 Cold Heart,2135135555,1183983.0,Elton John ,Canada
 Stay With Me,2134416039,759905.0,Sam Smith ,Canada
 Smells Like Teen Spirit,2132442267,1163308.0,Nirvana ,Canada
 Havana,2128683823,752058.0,Camila Cabello ,Canada
 Save Your Tears,2106540115,999562.0,The Weeknd ,Canada
 Wonderwall,2103491418,1197562.0,Oasis ,Canada
 Without Me,2101570151,485311.0,Halsey ,Canada
 Don't Stop Me Now,2089480531,1086532.0,Queen ,Canada
 Memories,2080313706,862760.0,Maroon 5 ,Canada
 Don't Stop Believin' (2022 Remaster),2078988587,1601701.0,Journey ,Canada
 Kill Bill,2078813747,1927479.0,SZA ,Canada
 Uptown Funk,2069479721,757538.0,Mark Ronson ,Canada
ha ,2067005311,1578453.0,a,Canada
 INDUSTRY BABY,2063238174,513422.0,Lil Nas X ,Canada
 DÁKITI,2049953714,580752.0,Bad Bunny ,Canada
 Till I Collapse,2043640154,644756.0,Eminem ,Canada
 Congratulations,2042356787,450842.0,Post Malone ,Canada
 Someone Like You,2042111139,1323310.0,Adele ,Canada
 The Scientist,2025165211,1024512.0,Coldplay ,Canada
 I Took A Pill In Ibiza,2021957664,557859.0,Mike Posner ,Canada
 Faded,2016322554,757750.0,Alan Walker ,Canada
 Before You Go,2004756700,790289.0,Lewis Capaldi ,Canada
 7 Years,2004016428,698891.0,Lukas Graham ,Canada
 Better Now,2000387845,379089.0,Post Malone ,Canada
 The Box,1998554926,1784040.0,Roddy Ricch ,Canada
 Sweet Child O' Mine,1992799253,1155866.0,Guns N' Roses ,Canada
 Stitches,1988079214,779681.0,Shawn Mendes ,Canada
 Roses,1974753514,560695.0,SAINt JHN ,Canada
 Another One Bites The Dust,1965915289,1009259.0,Queen ,Canada
 I'm Not The Only One,1964641555,876003.0,Sam Smith ,Canada
 See You Again,1963447110,655602.0,Wiz Khalifa ,Canada
 We Don't Talk Anymore,1960985032,853393.0,Charlie Puth ,Canada
 MONTERO (Call Me By Your Name),1955908899,522900.0,Lil Nas X ,Canada
 Moonlight,1954733684,618515.0,XXXTENTACION ,Canada
 Don't Let Me Down,1954132444,666177.0,The Chainsmokers ,Canada
 I'm Yours,1949947280,965650.0,Jason Mraz ,Canada
 Payphone,1940631965,1234525.0,Maroon 5 ,Canada
 Mood,1934675271,583691.0,24kGoldn ,Canada
 Dynamite,1929807019,575285.0,BTS ,Canada
 when the party's over,1927673522,768227.0,Billie Eilish ,Canada
" thank u, next",1922891621,411008.0,Ariana Grande ,Canada
 Radioactive,1922599679,741272.0,Imagine Dragons ,Canada
 Seven,1917641700,2570770.0,Jung Kook ,Canada
 Kiss Me More,1916069066,845262.0,Doja Cat ,Canada
 Pumped Up Kicks,1913514682,1187417.0,Foster The People ,Canada
 The Real Slim Shady,1910148039,846564.0,Eminem ,Canada
 La Bachata,1909400212,1590582.0,Manuel Turizo ,Canada
 Blank Space,1909046390,674338.0,Taylor Swift ,Canada
 Rolling in the Deep,1907608328,1075616.0,Adele ,Canada
 Me Porto Bonito,1904477660,713517.0,Bad Bunny ,Canada
 Sugar,1904472012,716622.0,Maroon 5 ,Canada
 Africa,1885681517,1254431.0,TOTO ,Canada
 The Nights,1884461462,948405.0,Avicii ,Canada
 Call Out My Name,1881580349,1038316.0,The Weeknd ,Canada
 Iris,1879576385,2303736.0,The Goo Goo Dolls ,Canada
 Billie Jean,1876175652,1140894.0,Michael Jackson ,Canada
 Attention,1868493179,993199.0,Charlie Puth ,Canada
 I Don't Care,1860955107,614140.0,Ed Sheeran ,Canada
 Numb,1860165774,1918957.0,Linkin Park ,Canada
 Me Rehúso,1857821706,1339222.0,Danny Ocean ,Canada
 Easy On Me,1855414848,1503316.0,Adele ,Canada
 This Is What You Came For,1852484716,586916.0,Calvin Harris ,Canada
 Heathens,1851495827,493777.0,Twenty One Pilots ,Canada
 Somebody That I Used To Know,1846980747,908160.0,Gotye ,Canada
 Youngblood,1844385350,463511.0,5 Seconds of Summer ,Canada
 I Like Me Better,1836019716,461619.0,Lauv ,Canada
 See You Again,1822379391,2002703.0,"Tyler, The Creator ",Canada
 Ride,1821537537,643292.0,Twenty One Pilots ,Canada
 All I Want for Christmas Is You,1819599508,263131.0,Mariah Carey ,Canada
 I'm Good (Blue),1818806137,1309766.0,David Guetta ,Canada
 Shut Up and Dance,1818525910,1389151.0,WALK THE MOON ,Canada
 Cheap Thrills,1816755550,361118.0,Sia ,Canada
 Chandelier,1812363965,810500.0,Sia ,Canada
 I Feel It Coming,1811808940,536226.0,The Weeknd ,Canada
 Gangsta's Paradise,1811411229,1202607.0,Coolio ,Canada
 Can't Feel My Face,1811295571,556354.0,The Weeknd ,Canada
 LA CANCIÓN,1810059940,942056.0,J Balvin ,Canada
 Be Alright,1809868485,640260.0,Dean Lewis ,Canada
 505,1808409626,1612672.0,Arctic Monkeys ,Canada
 Bad Habits,1807981092,415265.0,Ed Sheeran ,Canada
 Mockingbird,1807432070,995704.0,Eminem ,Canada
 Why'd You Only Call Me When You're High?,1802690346,1023998.0,Arctic Monkeys ,Canada
 Despacito,1800662716,555695.0,Luis Fonsi ,Canada
 Maps,1797284924,1224615.0,Maroon 5 ,Canada
 Creep,1794349416,1424032.0,Radiohead ,Canada
 Eastside,1793624392,588767.0,benny blanco ,Canada
 We Found Love,1792572567,1110136.0,Rihanna ,Canada
 Let Me Down Slowly,1786338746,614892.0,Alec Benjamin ,Canada
